transaction,latency,success
1,131,1
2,140,1
3,113,1
4,102,1
5,120,1
6,95,1
7,126,1
8,150,1
9,93,1
10,147,1
11,112,1
12,137,1
13,111,1
14,138,1
15,109,1
16,94,1
17,118,1
18,146,1
19,137,1
20,95,1
21,99,1
22,118,1
23,111,1
24,127,1
25,121,1
26,96,1
27,115,1
28,118,1
29,147,1
30,121,1
31,104,1
32,98,1
33,93,1
34,96,1
35,111,1
36,118,1
37,90,1
38,93,1
39,133,1
40,100,1
41,99,1
42,94,1
43,133,1
44,149,1
45,102,1
46,142,1
47,99,1
48,104,1
49,108,1
50,98,1
51,142,1
52,132,1
53,92,1
54,111,1
55,145,1
56,113,1
57,137,1
58,98,1
59,150,1
60,119,1
61,142,1
62,139,1
63,107,1
64,134,1
65,134,1
66,130,1
67,116,1
68,139,1
69,149,1
70,133,1
71,95,1
72,136,1
73,104,1
74,138,1
75,124,1
76,94,1
77,96,1
78,94,1
79,114,1
80,142,1
81,121,1
82,145,1
83,141,1
84,109,1
85,137,1
86,148,1
87,143,1
88,147,1
89,131,1
90,130,1
91,122,1
92,113,1
93,103,1
94,108,1
95,126,1
96,148,1
97,100,1
98,139,1
99,99,1
100,100,1
